observation file: /home/edwin/github/edwinkost/hyperhydro_pcrglobwb/daily_discharge_analysis_scripts/rhine_daily_discharge_data/6435060.day
nPairs;avg_obs;avg_sim;KGE_2009;KGE_2012;NSeff;NSeff_log;rmse;mae;bias;R2;R2ad;correlation
365;1821.18356164384;1800.57327387562;0.929219764199245;0.931299021134534;0.867046563261098;0.644023681173004;462.377504123117;346.999140240395;-20.6102877682204;0.869749320611127;0.869390503312535;0.932603517370124
date;observation;simulation
2003-05-02;1474;1760.77551269531
2003-05-03;1494;1782.40832519531
2003-05-04;1504;1760.14404296875
2003-05-05;1526;1710.04736328125
2003-05-06;1553;1675.69580078125
2003-05-07;1562;1665.99353027344
2003-05-08;1569;1697.75756835938
2003-05-09;1545;1715.66625976562
2003-05-10;1537;1676.91235351562
2003-05-11;1547;1646.94458007812
2003-05-12;1599;1657.26208496094
2003-05-13;1673;1731.87866210938
2003-05-14;1707;1866.92578125
2003-05-15;1693;1937.90539550781
2003-05-16;1721;1948.28405761719
2003-05-17;1740;1986.29724121094
2003-05-18;1746;2004.08410644531
2003-05-19;1769;2054.92602539062
2003-05-20;1795;2150.21826171875
2003-05-21;1865;2398.07006835938
2003-05-22;1976;2808.52563476562
2003-05-23;1986;2697.626953125
2003-05-24;1979;2404.54516601562
2003-05-25;2001;2255.69580078125
2003-05-26;1999;2223.52954101562
2003-05-27;1993;2237.74169921875
2003-05-28;1934;2187.27783203125
2003-05-29;1826;2023.24096679688
2003-05-30;1753;1865.81237792969
2003-05-31;1732;1769.58801269531
2003-06-01;1743;1733.86218261719
2003-06-02;1745;1719.70703125
2003-06-03;1788;1803.94812011719
2003-06-04;1790;1979.21179199219
2003-06-05;1726;1959.46447753906
2003-06-06;1652;1927.6611328125
2003-06-07;1620;1828.83203125
2003-06-08;1625;1738.10217285156
2003-06-09;1726;1825.52819824219
2003-06-10;1756;2014.29162597656
2003-06-11;1757;1939.57702636719
2003-06-12;1758;1988.11633300781
2003-06-13;1747;2107.423828125
2003-06-14;1689;2029.76037597656
2003-06-15;1633;1893.79699707031
2003-06-16;1622;1806.15698242188
2003-06-17;1662;1788.89965820312
2003-06-18;1691;1849.67126464844
2003-06-19;1650;1993.16833496094
2003-06-20;1611;2010.09777832031
2003-06-21;1595;1903.32922363281
2003-06-22;1573;1843.50244140625
2003-06-23;1549;1798.33276367188
2003-06-24;1515;1768.92736816406
2003-06-25;1453;1757.6962890625
2003-06-26;1395;1676.09777832031
2003-06-27;1367;1546.04296875
2003-06-28;1351;1431.45947265625
2003-06-29;1326;1347.52941894531
2003-06-30;1306;1295.67822265625
2003-07-01;1330;1301.67504882812
2003-07-02;1345;1424.18786621094
2003-07-03;1336;1463.09692382812
2003-07-04;1362;1493.90246582031
2003-07-05;1404;1543.91418457031
2003-07-06;1427;1562.80310058594
2003-07-07;1425;1587.74182128906
2003-07-08;1426;1603.60034179688
2003-07-09;1420;1578.70983886719
2003-07-10;1371;1515.62255859375
2003-07-11;1312;1427.12561035156
2003-07-12;1262;1340.19262695312
2003-07-13;1228;1258.87963867188
2003-07-14;1200;1178.8125
2003-07-15;1160;1102.10375976562
2003-07-16;1129;1043.47241210938
2003-07-17;1134;1027.47338867188
2003-07-18;1153;1079.36608886719
2003-07-19;1104;1091.71374511719
2003-07-20;1086;1070.33386230469
2003-07-21;1075;1031.88403320312
2003-07-22;1104;964.163330078125
2003-07-23;1158;1015.32250976562
2003-07-24;1182;1194.30920410156
2003-07-25;1175;1272.81652832031
2003-07-26;1173;1240.25268554688
2003-07-27;1159;1184.22204589844
2003-07-28;1210;1144.77966308594
2003-07-29;1242;1086.69250488281
2003-07-30;1260;1007.38092041016
2003-07-31;1273;1003.65826416016
2003-08-01;1270;1090.74145507812
2003-08-02;1266;1132.17810058594
2003-08-03;1231;1133.22106933594
2003-08-04;1202;1101.70349121094
2003-08-05;1183;1070.91284179688
2003-08-06;1150;1037.78271484375
2003-08-07;1112;1001.97509765625
2003-08-08;1084;962.646545410156
2003-08-09;1062;927.115356445312
2003-08-10;1028;862.680847167969
2003-08-11;1000;793.841125488281
2003-08-12;981;727.55126953125
2003-08-13;975;675.154235839844
2003-08-14;957;611.371459960938
2003-08-15;940;597.255065917969
2003-08-16;917;579.652099609375
2003-08-17;892;547.368041992188
2003-08-18;893;518.779357910156
2003-08-19;942;502.736663818359
2003-08-20;1001;504.974914550781
2003-08-21;1004;525.661560058594
2003-08-22;997;538.703552246094
2003-08-23;982;505.736022949219
2003-08-24;955;490.008605957031
2003-08-25;928;490.912780761719
2003-08-26;918;483.738830566406
2003-08-27;906;462.730865478516
2003-08-28;901;477.48486328125
2003-08-29;909;497.807678222656
2003-08-30;953;560.26953125
2003-08-31;953;637.506408691406
2003-09-01;962;617.8564453125
2003-09-02;989;567.680419921875
2003-09-03;992;565.456665039062
2003-09-04;994;617.613464355469
2003-09-05;1009;613.897644042969
2003-09-06;1017;559.985412597656
2003-09-07;998;528.168273925781
2003-09-08;966;625.059814453125
2003-09-09;1008;906.943237304688
2003-09-10;1068;1077.86572265625
2003-09-11;1124;1129.34216308594
2003-09-12;1088;1347.18969726562
2003-09-13;1025;1321.77526855469
2003-09-14;979;1116.25817871094
2003-09-15;954;953.295654296875
2003-09-16;949;837.126403808594
2003-09-17;956;753.981750488281
2003-09-18;948;699.133544921875
2003-09-19;911;662.901916503906
2003-09-20;876;635.157836914062
2003-09-21;854;609.382141113281
2003-09-22;844;584.477783203125
2003-09-23;846;543.544738769531
2003-09-24;852;553.621032714844
2003-09-25;839;560.21240234375
2003-09-26;820;530.929138183594
2003-09-27;797;476.547302246094
2003-09-28;788;424.732269287109
2003-09-29;796;388.093322753906
2003-09-30;799;375.4306640625
2003-10-01;793;386.869842529297
2003-10-02;812;384.107391357422
2003-10-03;865;384.096893310547
2003-10-04;905;445.388153076172
2003-10-05;998;609.888305664062
2003-10-06;986;794.942687988281
2003-10-07;989;785.8271484375
2003-10-08;1087;809.49658203125
2003-10-09;1241;925.855102539062
2003-10-10;1450;1001.53796386719
2003-10-11;1589;1185.30383300781
2003-10-12;1724;2296.65747070312
2003-10-13;1779;2500.45458984375
2003-10-14;1779;2141.39306640625
2003-10-15;1702;1824.71948242188
2003-10-16;1584;1561.26428222656
2003-10-17;1492;1344.55065917969
2003-10-18;1423;1184.61181640625
2003-10-19;1360;1075.52880859375
2003-10-20;1301;1002.45416259766
2003-10-21;1260;951.034362792969
2003-10-22;1232;918.043884277344
2003-10-23;1199;902.915100097656
2003-10-24;1206;880.618896484375
2003-10-25;1210;860.979370117188
2003-10-26;1197;871.362670898438
2003-10-27;1181;909.250122070312
2003-10-28;1167;930.2353515625
2003-10-29;1145;902.785278320312
2003-10-30;1130;863.882690429688
2003-10-31;1119;845.234985351562
2003-11-01;1125;844.156494140625
2003-11-02;1159;869.523986816406
2003-11-03;1220;892.009887695312
2003-11-04;1274;907.325927734375
2003-11-05;1298;994.184326171875
2003-11-06;1318;1071.23571777344
2003-11-07;1322;1070.38415527344
2003-11-08;1289;1029.29150390625
2003-11-09;1252;975.083862304688
2003-11-10;1205;925.448303222656
2003-11-11;1165;881.216003417969
2003-11-12;1116;833.625915527344
2003-11-13;1086;782.776733398438
2003-11-14;1052;736.293823242188
2003-11-15;1033;698.947875976562
2003-11-16;1022;674.185180664062
2003-11-17;1052;664.47607421875
2003-11-18;1127;706.704040527344
2003-11-19;1201;811.932861328125
2003-11-20;1237;863.272155761719
2003-11-21;1248;879.530578613281
2003-11-22;1240;940.847900390625
2003-11-23;1201;994.764526367188
2003-11-24;1153;972.948120117188
2003-11-25;1129;907.761596679688
2003-11-26;1102;839.130493164062
2003-11-27;1074;780.17138671875
2003-11-28;1051;745.876647949219
2003-11-29;1067;732.684020996094
2003-11-30;1093;735.817932128906
2003-12-01;1133;740.47998046875
2003-12-02;1229;760.67138671875
2003-12-03;1325;833.986755371094
2003-12-04;1330;1031.31518554688
2003-12-05;1266;1159.14416503906
2003-12-06;1216;1103.42199707031
2003-12-07;1189;1006.24835205078
2003-12-08;1161;918.501098632812
2003-12-09;1147;839.754821777344
2003-12-10;1112;769.622497558594
2003-12-11;1087;715.729248046875
2003-12-12;1068;685.810546875
2003-12-13;1065;719.108032226562
2003-12-14;1166;832.916198730469
2003-12-15;1477;1088.46850585938
2003-12-16;1812;1284.38464355469
2003-12-17;1872;1340.66931152344
2003-12-18;1786;1337.22985839844
2003-12-19;1674;1271.59350585938
2003-12-20;1550;1198.30871582031
2003-12-21;1467;1150.09033203125
2003-12-22;1411;1160.84655761719
2003-12-23;1413;1194.68530273438
2003-12-24;1470;1189.19909667969
2003-12-25;1539;1179.68005371094
2003-12-26;1611;1137.72253417969
2003-12-27;1608;1102.83728027344
2003-12-28;1567;1145.53430175781
2003-12-29;1532;1187.55883789062
2003-12-30;1522;1147.50720214844
2003-12-31;1512;1074.04479980469
